datetime,spot,iv,straddle_cost,signal,in_position,entry_reason,exit_reason,pnl,pnl_pct,result,trade_number,cumulative_pnl
2025-04-03 13:40:00,23264.65,4.778258,17.95,EXIT,False,,STOP_LOSS (-19.3%),-4.300000000000001,-19.325842696629216,LOSS,118,892.0999999999999
2025-04-03 13:55:00,23259.4,6.2772895,17.35,EXIT,False,,IV_EXPANSION (6.3% vs 5.2%),-1.6000000000000014,-8.443271767810034,LOSS,119,890.4999999999999
2025-04-03 14:05:00,23267.05,4.5781,17.0,EXIT,False,,IV_EXPANSION (4.6% vs 4.1%),-0.3000000000000007,-1.7341040462427786,LOSS,120,890.1999999999999
2025-04-03 14:25:00,23258.45,5.5330455,13.6,EXIT,False,,IV_EXPANSION (5.5% vs 4.9%),-2.1500000000000004,-13.650793650793652,LOSS,121,888.05
2025-04-03 14:35:00,23248.75,6.0030909999999995,11.0,EXIT,False,,PROFIT_TARGET (7.3%),0.75,7.317073170731707,WIN,122,888.8
2025-04-03 14:45:00,23251.85,5.6679345,9.45,EXIT,False,,IV_EXPANSION (5.7% vs 4.7%),-0.6999999999999993,-6.896551724137925,LOSS,123,888.0999999999999
2025-04-03 15:00:00,23252.1,2.732309,4.15,EXIT,False,,STOP_LOSS (-39.0%),-2.6499999999999995,-38.970588235294116,LOSS,124,885.4499999999999
2025-04-03 15:10:00,23253.05,1.1152215,3.2,EXIT,False,,STOP_LOSS (-19.0%),-0.75,-18.987341772151897,LOSS,125,884.6999999999999
2025-04-03 15:25:00,23241.6,7.8571475,0.95,EXIT,False,,IV_EXPANSION (7.9% vs 2.4%),-0.15000000000000013,-13.636363636363647,LOSS,126,884.55
2025-04-07 14:10:00,21997.7,44.44453,584.9000000000001,EXIT,False,,TIME_LIMIT (10 periods),-10.749999999999886,-1.8047511122303177,LOSS,127,873.8000000000001
2025-04-07 14:30:00,22044.65,44.568182,585.8,EXIT,False,,TIME_LIMIT (10 periods),-2.5,-0.42495325514193444,LOSS,128,871.3000000000001
2025-04-07 14:45:00,22016.45,47.184528,617.9,EXIT,False,,TIME_LIMIT (10 periods),32.10000000000002,5.4796858996244495,WIN,129,903.4000000000001
2025-04-08 09:15:00,22524.35,33.830736,357.55,EXIT,False,,STOP_LOSS (-37.3%),-212.49999999999994,-37.27743180422769,LOSS,130,690.9000000000001
2025-04-08 10:10:00,22383.95,31.8237475,328.65,EXIT,False,,TIME_LIMIT (10 periods),-9.350000000000023,-2.7662721893491193,LOSS,131,681.5500000000001
2025-04-08 10:35:00,22297.5,36.849708,376.20000000000005,EXIT,False,,PROFIT_TARGET (17.0%),54.75,17.032197853476433,WIN,132,736.3000000000001
2025-04-08 12:40:00,22643.95,35.2718335,352.25,EXIT,False,,PROFIT_TARGET (6.7%),22.25,6.742424242424243,WIN,133,758.5500000000001
2025-04-09 09:40:00,22467.85,33.839458,156.35,EXIT,False,,PROFIT_TARGET (7.1%),10.400000000000006,7.125727989037347,WIN,134,768.95
2025-04-09 09:50:00,22416.05,29.713634000000003,135.05,EXIT,False,,PROFIT_TARGET (6.4%),8.100000000000009,6.380464749901543,WIN,135,777.0500000000001
2025-04-09 10:05:00,22428.55,24.638655,110.2,EXIT,False,,STOP_LOSS (-23.0%),-32.90000000000002,-22.990915443745642,LOSS,136,744.1500000000001
2025-04-09 10:25:00,22398.2,15.385213,65.8,EXIT,False,,STOP_LOSS (-24.7%),-21.549999999999997,-24.67086433886663,LOSS,137,722.6000000000001
2025-04-09 10:45:00,22402.7,12.740967000000001,52.75,EXIT,False,,STOP_LOSS (-21.7%),-14.650000000000006,-21.735905044510393,LOSS,138,707.9500000000002
2025-04-09 11:00:00,22367.2,13.3779505,55.7,EXIT,False,,PROFIT_TARGET (7.7%),4.0,7.736943907156673,WIN,139,711.9500000000002
2025-04-09 11:35:00,22425.2,17.8918065,70.0,EXIT,False,,PROFIT_TARGET (27.5%),15.100000000000001,27.504553734061933,WIN,140,727.0500000000002
2025-04-09 12:00:00,22419.15,9.072298,37.3,EXIT,False,,STOP_LOSS (-15.7%),-6.950000000000003,-15.706214689265543,LOSS,141,720.1000000000001
2025-04-09 12:10:00,22432.15,17.048658500000002,60.699999999999996,EXIT,False,,PROFIT_TARGET (57.3%),22.099999999999994,57.25388601036268,WIN,142,742.2000000000002
2025-04-09 12:30:00,22440.55,18.085423499999997,59.699999999999996,EXIT,False,,PROFIT_TARGET (71.8%),24.949999999999996,71.79856115107913,WIN,143,767.1500000000002
2025-04-09 13:05:00,22430.6,17.5982555,54.0,EXIT,False,,PROFIT_TARGET (87.5%),25.2,87.5,WIN,144,792.3500000000003
2025-04-09 13:20:00,22411.55,8.2220025,24.95,EXIT,False,,IV_EXPANSION (8.2% vs 5.8%),-0.9499999999999993,-3.6679536679536655,LOSS,145,791.4000000000002
2025-04-09 13:30:00,22406.75,7.4163475000000005,20.65,EXIT,False,,IV_EXPANSION (7.4% vs 5.6%),-2.950000000000003,-12.50000000000001,LOSS,146,788.4500000000002
2025-04-09 13:55:00,22398.65,7.136502999999999,16.8,EXIT,False,,STOP_LOSS (-17.4%),-3.5500000000000007,-17.444717444717448,LOSS,147,784.9000000000002
2025-04-09 14:05:00,22403.5,6.05509,13.8,EXIT,False,,STOP_LOSS (-16.1%),-2.6499999999999986,-16.109422492401208,LOSS,148,782.2500000000002
2025-04-09 14:30:00,22402.6,4.5409145,8.7,EXIT,False,,STOP_LOSS (-27.2%),-3.25,-27.196652719665277,LOSS,149,779.0000000000002
2025-04-09 14:45:00,22402.15,4.1245025,6.800000000000001,EXIT,False,,STOP_LOSS (-18.1%),-1.5,-18.072289156626503,LOSS,150,777.5000000000002
2025-04-09 15:00:00,22394.9,2.0876075,4.7,EXIT,False,,STOP_LOSS (-31.9%),-2.2,-31.884057971014496,LOSS,151,775.3000000000002
2025-04-09 15:10:00,22402.7,1.6447955,1.5,EXIT,False,,STOP_LOSS (-49.2%),-1.4499999999999997,-49.15254237288135,LOSS,152,773.8500000000001
2025-04-09 15:20:00,22402.65,4.6129825,1.75,EXIT,False,,PROFIT_TARGET (66.7%),0.7,66.66666666666666,WIN,153,774.5500000000002
2025-04-15 10:55:00,23309.55,15.382814499999999,222.2,EXIT,False,,TIME_LIMIT (10 periods),-19.600000000000023,-8.105872622001662,LOSS,154,754.9500000000002
2025-04-15 11:50:00,23305.85,15.1542025,216.75,EXIT,False,,TIME_LIMIT (10 periods),-2.6499999999999773,-1.2078395624430163,LOSS,155,752.3000000000002
2025-04-15 12:45:00,23342.1,15.2953775,216.7,EXIT,False,,TIME_LIMIT (10 periods),1.3999999999999773,0.6502554575011507,WIN,156,753.7000000000002
2025-04-15 13:40:00,23328.55,14.4487095,202.85000000000002,EXIT,False,,TIME_LIMIT (10 periods),-9.75,-4.586077140169332,LOSS,157,743.9500000000002
2025-04-15 14:35:00,23316.8,13.0035215,182.14999999999998,EXIT,False,,TIME_LIMIT (10 periods),-21.25,-10.44739429695182,LOSS,158,722.7000000000002
2025-04-15 15:10:00,23321.2,13.766623499999998,192.1,EXIT,False,,PROFIT_TARGET (8.4%),14.950000000000017,8.439175839683895,WIN,159,737.6500000000002
2025-04-16 09:15:00,23284.85,12.360996499999999,134.95,EXIT,False,,STOP_LOSS (-29.7%),-57.05000000000001,-29.71354166666667,LOSS,160,680.6000000000001
2025-04-16 09:25:00,23334.2,12.596119,137.45,EXIT,False,,PROFIT_TARGET (8.3%),10.549999999999983,8.313632781717875,WIN,161,691.1500000000001
2025-04-16 09:40:00,23357.7,13.4813425,146.95,EXIT,False,,PROFIT_TARGET (7.9%),10.699999999999989,7.853211009174303,WIN,162,701.8500000000001
