entry_time,exit_time,entry_cost,exit_cost,net_pnl,result,exit_reason
2025-09-30 09:15:00,2025-09-30 11:20:00,107.0,88.55,-68.45,LOSS,STOP
2025-10-06 14:25:00,2025-10-09 14:25:00,476.95,411.05,-115.9,LOSS,TIME
2025-10-10 10:15:00,2025-10-15 10:15:00,418.9,372.2,-96.7,LOSS,TIME
2025-10-16 13:00:00,2025-10-16 15:25:00,356.7,158.1,-248.6,LOSS,STOP
2025-10-17 09:40:00,2025-10-20 12:50:00,355.45,298.3,-107.15,LOSS,STOP
2025-10-23 09:15:00,2025-10-23 14:45:00,264.15,220.75,-93.4,LOSS,STOP
2025-10-23 15:20:00,2025-10-24 10:10:00,254.05,212.95,-91.1,LOSS,STOP
2025-10-24 13:35:00,2025-10-27 09:15:00,202.1,171.5,-80.6,LOSS,STOP
2025-10-27 09:45:00,2025-10-27 13:30:00,181.45,153.85,-77.6,LOSS,STOP
2025-10-28 09:15:00,2025-10-28 10:40:00,143.0,118.25,-74.75,LOSS,STOP
2025-10-28 11:10:00,2025-10-28 11:50:00,110.8,93.1,-67.7,LOSS,STOP
2025-10-29 14:45:00,2025-11-03 14:45:00,653.5,591.4,-112.1,LOSS,TIME
2025-11-04 09:30:00,2025-11-07 09:45:00,590.15,499.8,-140.35,LOSS,STOP
2025-11-10 09:15:00,2025-11-13 09:15:00,479.25,406.6,-122.65,LOSS,STOP
2025-11-13 10:10:00,2025-11-17 12:15:00,412.45,347.6,-114.85,LOSS,STOP
2025-11-18 09:20:00,2025-11-18 14:00:00,338.35,320.95,-67.4,LOSS,TIME
2025-11-18 15:05:00,2025-11-20 09:15:00,326.35,259.45,-116.9,LOSS,STOP
2025-11-24 09:15:00,2025-11-24 12:35:00,170.8,145.05,-75.75,LOSS,STOP
2025-11-24 13:35:00,2025-11-25 09:15:00,147.15,110.5,-86.65,LOSS,STOP
2025-11-25 09:45:00,2025-11-25 11:15:00,103.4,86.75,-66.65,LOSS,STOP
2025-11-26 12:15:00,2025-12-01 12:15:00,687.0,632.75,-104.25,LOSS,TIME
2025-12-01 12:45:00,2025-12-04 12:45:00,629.85,547.1,-132.75,LOSS,TIME
2025-12-05 09:30:00,2025-12-10 09:30:00,547.0,485.45,-111.55,LOSS,TIME
2025-12-10 12:30:00,2025-12-12 13:00:00,486.15,412.9,-123.25,LOSS,STOP
2025-12-15 09:15:00,2025-12-17 14:15:00,410.8,343.85,-116.95,LOSS,STOP
2025-12-22 09:15:00,2025-12-23 11:50:00,277.85,234.8,-93.05,LOSS,STOP
2025-12-29 09:15:00,2025-12-29 15:25:00,114.55,96.85,-67.7,LOSS,STOP
2025-12-30 09:40:00,2025-12-30 10:35:00,84.55,68.6,-65.95,LOSS,STOP
2025-12-30 11:05:00,2025-12-30 12:10:00,63.8,53.05,-60.75,LOSS,STOP
2025-12-31 09:15:00,2026-01-05 09:15:00,531.4,478.05,-103.35,LOSS,TIME
2026-01-05 09:45:00,2026-01-07 10:55:00,473.8,433.95,-89.85,LOSS,TIME
2026-01-07 12:10:00,2026-01-08 14:40:00,435.4,429.5,-55.9,LOSS,TIME
2026-01-09 09:20:00,2026-01-14 09:20:00,432.85,395.6,-87.25,LOSS,TIME
2026-01-16 09:15:00,2026-01-20 11:40:00,358.9,302.5,-106.4,LOSS,STOP
2026-01-20 13:20:00,2026-01-22 14:20:00,307.0,260.95,-96.05,LOSS,STOP
2026-01-23 15:05:00,2026-01-27 09:30:00,224.85,188.4,-86.45,LOSS,STOP
2026-01-27 10:00:00,2026-01-27 11:35:00,159.4,129.35,-80.05,LOSS,STOP
2026-01-27 12:05:00,2026-01-27 12:50:00,141.1,114.5,-76.6,LOSS,STOP
2026-01-29 09:50:00,2026-02-01 10:55:00,736.65,697.65,-89.0,LOSS,TIME
2026-02-01 11:20:00,2026-02-02 11:20:00,710.0,724.15,-35.85,LOSS,TIME
2026-02-05 14:10:00,2026-02-09 10:35:00,525.0,446.05,-128.95,LOSS,STOP
2026-02-09 11:30:00,2026-02-11 09:15:00,449.95,378.5,-121.45,LOSS,STOP
