datetime,close_call,iv_call,spot,close_put,iv_put,straddle_cost,avg_iv
2026-02-05 10:40:00,298.7,9.7082,25642.65,226.0,12.140452,524.7,10.924326
2026-02-05 10:45:00,295.2,9.626938,25639.95,229.25,12.231924,524.45,10.929431000000001
2026-02-05 10:50:00,294.0,9.740298,25633.55,230.95,12.188097,524.95,10.964197500000001
2026-02-05 10:55:00,324.25,10.0219,25624.35,213.05,12.169679,537.3,11.0957895
2026-02-05 11:00:00,298.4,9.685545,25643.25,226.05,12.156097,524.45,10.920821
2026-02-05 11:05:00,305.15,9.46628,25662.85,220.6,12.275459,525.75,10.8708695
2026-02-05 11:10:00,311.2,9.445278,25673.55,212.4,12.110197,523.6,10.7777375
2026-02-05 11:15:00,299.55,9.621896,25647.8,222.9,12.104746,522.45,10.863321
2026-02-05 11:20:00,300.3,9.729009,25645.0,226.1,12.192748,526.4,10.9608785
2026-02-05 11:25:00,303.75,9.684171,25652.55,220.65,12.094743,524.4,10.889457
2026-02-05 11:30:00,301.85,9.73728,25647.4,221.1,12.021479,522.95,10.879379499999999
2026-02-05 11:35:00,310.0,9.46779,25671.05,213.4,12.112653,523.4,10.790221500000001
2026-02-05 11:40:00,310.05,9.598573,25666.35,213.6,12.038409,523.65,10.818491
2026-02-05 11:45:00,294.8,9.756921,25634.9,226.9,12.045222,521.7,10.9010715
2026-02-05 11:50:00,298.5,9.831063,25638.35,223.8,11.975428,522.3,10.9032455
2026-02-05 11:55:00,303.55,9.70146,25651.9,219.0,12.015264,522.55,10.858362
2026-02-05 12:00:00,302.3,9.663974,25651.3,215.15,11.838121,517.45,10.751047499999999
2026-02-05 12:05:00,296.0,9.762614,25636.95,223.0,11.916999,519.0,10.8398065
2026-02-05 12:10:00,292.0,9.772475,25629.8,228.95,12.042492,520.95,10.9074835
2026-02-05 12:15:00,314.65,9.856736,25615.65,213.6,12.049064,528.25,10.9529
2026-02-05 12:20:00,314.8,9.844782,25616.4,213.3,12.050027,528.1,10.947404500000001
2026-02-05 12:25:00,318.2,9.875406,25620.9,210.3,11.99994,528.5,10.937673
2026-02-05 12:30:00,318.0,9.958163,25617.55,209.0,11.884177,527.0,10.92117
2026-02-05 12:35:00,317.3,9.826526,25621.35,207.9,11.904329,525.2,10.8654275
2026-02-05 12:40:00,316.25,9.893404,25617.2,209.65,11.907566,525.9,10.900485
2026-02-05 12:45:00,293.0,9.914723,25626.3,224.8,11.802763,517.8,10.858743
2026-02-05 12:50:00,320.1,9.902236,25623.3,205.0,11.81393,525.1,10.858083
2026-02-05 12:55:00,298.05,9.785903,25640.1,220.15,11.857644,518.2,10.821773499999999
2026-02-05 13:00:00,298.9,9.866872,25638.45,223.45,11.970772,522.3499999999999,10.918822
2026-02-05 13:05:00,296.0,9.636081,25642.55,220.0,11.897208,516.0,10.7666445
2026-02-05 13:10:00,291.95,9.6093,25636.8,222.65,11.907059,514.6,10.7581795
2026-02-05 13:15:00,299.0,9.541707,25651.3,216.1,11.888554,515.1,10.7151305
2026-02-05 13:20:00,295.0,9.547418,25644.45,221.4,11.994433,516.4,10.7709255
2026-02-05 13:25:00,308.85,9.711813,25612.3,215.55,12.08294,524.4000000000001,10.8973765
2026-02-05 13:30:00,287.65,9.536823,25632.55,226.1,11.980261,513.75,10.758542
2026-02-05 13:35:00,296.15,9.727843,25639.6,219.0,11.803547,515.15,10.765695000000001
2026-02-05 13:40:00,290.95,9.60027,25635.8,223.95,11.948559,514.9,10.774414499999999
2026-02-05 13:45:00,296.0,9.663535,25641.95,220.75,11.923642,516.75,10.793588499999998
2026-02-05 13:50:00,291.45,9.788414,25629.4,223.85,11.827094,515.3,10.807754
2026-02-05 13:55:00,291.0,9.621014,25635.25,225.9,12.024625,516.9,10.822819500000001
2026-02-05 14:00:00,288.45,9.715421,25627.25,227.25,11.935265,515.7,10.825343
2026-02-05 14:05:00,302.65,9.922816,25594.4,216.95,11.824309,519.5999999999999,10.873562499999998
2026-02-05 14:10:00,302.0,9.829527,25596.95,223.0,12.13454,525.0,10.9820335
2026-02-05 14:15:00,301.7,9.794377,25597.85,223.15,12.158165,524.85,10.976271
2026-02-05 14:20:00,304.55,9.892189,25598.95,221.75,12.118036,526.3,11.0051125
2026-02-05 14:25:00,309.35,9.76275,25611.9,212.95,11.969924,522.3,10.866337000000001
2026-02-05 14:30:00,287.0,9.675161,25626.7,228.05,11.963259,515.05,10.81921
2026-02-05 14:35:00,289.85,9.688902,25631.1,226.35,11.972219,516.2,10.8305605
2026-02-05 14:40:00,315.65,9.718292,25624.05,207.5,11.95054,523.15,10.834416000000001
2026-02-05 14:45:00,313.15,9.697276,25620.8,208.95,11.956888,522.0999999999999,10.827082
2026-02-05 14:50:00,288.45,9.655287,25630.2,224.75,11.888136,513.2,10.771711499999999
2026-02-05 14:55:00,293.45,9.488093,25645.2,219.95,11.957094,513.4,10.722593499999999
2026-02-05 15:00:00,303.85,9.406301,25665.55,210.95,11.933957,514.8,10.670129
2026-02-05 15:05:00,294.0,9.526937,25644.75,217.5,11.843726,511.5,10.6853315
2026-02-05 15:10:00,293.95,9.446293,25647.8,215.4,11.808728,509.35,10.6275105
2026-02-05 15:15:00,288.4,9.6847,25629.25,220.2,11.676573,508.59999999999997,10.680636499999999
2026-02-05 15:20:00,290.2,9.463902,25640.95,219.2,11.849774,509.4,10.656838
2026-02-05 15:25:00,286.4,9.281866,25641.6,219.9,11.892701,506.29999999999995,10.587283500000002
2026-02-06 09:15:00,284.3,9.215084,25603.5,218.7,12.217885,503.0,10.7164845
2026-02-06 09:20:00,283.5,9.598457,25587.85,216.25,11.816374,499.75,10.7074155
2026-02-06 09:25:00,304.35,9.57626,25574.35,201.95,11.874787,506.3,10.7255235
2026-02-06 09:30:00,300.1,9.682248,25563.6,202.2,11.690212,502.3,10.68623
2026-02-06 09:35:00,292.3,9.852133,25544.3,208.5,11.613727,500.8,10.73293
2026-02-06 09:40:00,282.35,9.879098,25526.3,218.8,11.730353,501.15000000000003,10.8047255
2026-02-06 09:45:00,294.95,9.304581,25569.0,203.5,11.849287,498.45,10.576934000000001
2026-02-06 09:50:00,291.85,9.570566,25554.25,209.05,11.825883,500.90000000000003,10.698224499999998
2026-02-06 09:55:00,291.5,9.607608,25552.35,205.5,11.632913,497.0,10.6202605
2026-02-06 10:00:00,279.5,9.517614,25535.55,211.0,11.563105,490.5,10.540359500000001
